Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,Semester_num,Income_clean,Income_cat,Attendance_cat,Gaming_cat,Preparation_cat,Computer_ord,English_ord
Business Administration,Male,4.17,4.84,"Low (Below 15,000)",Village,3,More than 3 Hours,0-1 Hour,80%-100%,No,3,Yes,6th,3.22,3.35,6,Low,Low,80%-100%,0-1 Hour,More than 3 Hours,3,3
Business Administration,Female,4.92,5.0,"Upper middle (30,000-50,000)",City,3,0-1 Hour,0-1 Hour,80%-100%,No,3,Yes,7th,3.467,3.467,7,Upper middle,Upper middle,80%-100%,0-1 Hour,0-1 Hour,3,3
Business Administration,Male,5.0,4.83,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,80%-100%,No,4,Yes,3rd,4.0,3.72,3,Lower middle,Lower middle,80%-100%,More than 3 Hours,0-1 Hour,3,4
Business Administration,Male,4.0,4.5,"High (Above 50,000)",City,5,More than 3 Hours,More than 3 Hours,80%-100%,No,5,Yes,4th,3.8,3.75,4,High,High,80%-100%,More than 3 Hours,More than 3 Hours,5,5
Business Administration,Female,2.19,3.17,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,2-3 Hours,80%-100%,No,3,Yes,4th,3.94,3.94,4,Lower middle,Lower middle,80%-100%,2-3 Hours,0-1 Hour,3,3
Computer Science and Engineering,Male,4.75,4.05,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.0,1.0,2,Lower middle,Lower middle,Below 40%,More than 3 Hours,0-1 Hour,3,4
Computer Science and Engineering,Male,4.42,5.0,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.06,1.06,2,High,High,60%-79%,More than 3 Hours,0-1 Hour,4,2
Computer Science and Engineering,Male,4.5,4.81,"Upper middle (30,000-50,000)",City,3,2-3 Hours,More than 3 Hours,80%-100%,No,4,Yes,11th,2.95,1.25,11,Upper middle,Upper middle,80%-100%,More than 3 Hours,2-3 Hours,3,4
Computer Science and Engineering,Male,3.32,4.5,"Low (Below 15,000)",City,4,0-1 Hour,More than 3 Hours,Below 40%,No,3,Yes,5th,1.42,1.44,5,Low,Low,Below 40%,More than 3 Hours,0-1 Hour,4,3
Computer Science and Engineering,Female,3.33,4.95,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.5,1.5,2,Lower middle,Lower middle,Below 40%,More than 3 Hours,0-1 Hour,3,4
Computer Science and Engineering,Male,4.17,5.0,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.56,1.56,2,Lower middle,Lower middle,Below 40%,More than 3 Hours,0-1 Hour,3,4
Computer Science and Engineering,Male,3.58,4.56,"Upper middle (30,000-50,000)",Village,4,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,9th,1.57,1.57,9,Upper middle,Upper middle,Below 40%,More than 3 Hours,0-1 Hour,4,4
Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,Yes,8th,1.57,1.57,8,Lower middle,Lower middle,60%-79%,More than 3 Hours,0-1 Hour,1,2
Computer Science and Engineering,Male,4.5,4.75,"Upper middle (30,000-50,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,8th,1.0,1.6,8,Upper middle,Upper middle,60%-79%,More than 3 Hours,0-1 Hour,1,2
Computer Science and Engineering,Male,3.83,5.0,"Low (Below 15,000)",Village,2,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.62,1.62,2,Low,Low,Below 40%,More than 3 Hours,0-1 Hour,2,4
Computer Science and Engineering,Male,4.33,4.64,"Lower middle (15,000-30,000)",City,5,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.69,1.69,2,Lower middle,Lower middle,Below 40%,More than 3 Hours,0-1 Hour,5,4
Computer Science and Engineering,Female,4.51,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,Yes,8th,1.83,1.71,8,Lower middle,Lower middle,60%-79%,More than 3 Hours,0-1 Hour,1,2
Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.69,1.72,2,Lower middle,Lower middle,60%-79%,More than 3 Hours,0-1 Hour,1,2
